    x        y 
0.000000 0.000000
0.010101 0.017119
0.020202 0.023708
0.030303 0.028530
0.040404 0.032420
0.050505 0.035699
0.060606 0.038535
0.070707 0.041027
0.080808 0.043240
0.090909 0.045219
0.101010 0.046997
0.111111 0.048600
0.121212 0.050048
0.131313 0.051356
0.141414 0.052538
0.151515 0.053605
0.161616 0.054565
0.171717 0.055427
0.181818 0.056199
0.191919 0.056884
0.202020 0.057490
0.212121 0.058021
0.222222 0.058482
0.232323 0.058875
0.242424 0.059205
0.252525 0.059474
0.262626 0.059687
0.272727 0.059845
0.282828 0.059950
0.292929 0.060006
0.303030 0.060015
0.313131 0.059978
0.323232 0.059897
0.333333 0.059775
0.343434 0.059613
0.353535 0.059412
0.363636 0.059173
0.373737 0.058900
0.383838 0.058591
0.393939 0.058250
0.404040 0.057877
0.414141 0.057473
0.424242 0.057040
0.434343 0.056578
0.444444 0.056088
0.454545 0.055572
0.464646 0.055030
0.474747 0.054462
0.484848 0.053871
0.494949 0.053256
0.505051 0.052619
0.515152 0.051959
0.525253 0.051279
0.535354 0.050577
0.545455 0.049855
0.555556 0.049114
0.565657 0.048354
0.575758 0.047575
0.585859 0.046779
0.595960 0.045964
0.606061 0.045133
0.616162 0.044284
0.626263 0.043420
0.636364 0.042539
0.646465 0.041642
0.656566 0.040730
0.666667 0.039803
0.676768 0.038861
0.686869 0.037904
0.696970 0.036933
0.707071 0.035948
0.717172 0.034948
0.727273 0.033934
0.737374 0.032907
0.747475 0.031866
0.757576 0.030811
0.767677 0.029742
0.777778 0.028660
0.787879 0.027564
0.797980 0.026455
0.808081 0.025332
0.818182 0.024195
0.828283 0.023045
0.838384 0.021881
0.848485 0.020703
0.858586 0.019512
0.868687 0.018306
0.878788 0.017086
0.888889 0.015852
0.898990 0.014603
0.909091 0.013339
0.919192 0.012061
0.929293 0.010767
0.939394 0.009457
0.949495 0.008132
0.959596 0.006791
0.969697 0.005434
0.979798 0.004060
0.989899 0.002668
1.000000 0.001260
1.000000 -0.001260
0.989899 -0.002668
0.979798 -0.004060
0.969697 -0.005434
0.959596 -0.006791
0.949495 -0.008132
0.939394 -0.009457
0.929293 -0.010767
0.919192 -0.012061
0.909091 -0.013339
0.898990 -0.014603
0.888889 -0.015852
0.878788 -0.017086
0.868687 -0.018306
0.858586 -0.019512
0.848485 -0.020703
0.838384 -0.021881
0.828283 -0.023045
0.818182 -0.024195
0.808081 -0.025332
0.797980 -0.026455
0.787879 -0.027564
0.777778 -0.028660
0.767677 -0.029742
0.757576 -0.030811
0.747475 -0.031866
0.737374 -0.032907
0.727273 -0.033934
0.717172 -0.034948
0.707071 -0.035948
0.696970 -0.036933
0.686869 -0.037904
0.676768 -0.038861
0.666667 -0.039803
0.656566 -0.040730
0.646465 -0.041642
0.636364 -0.042539
0.626263 -0.043420
0.616162 -0.044284
0.606061 -0.045133
0.595960 -0.045964
0.585859 -0.046779
0.575758 -0.047575
0.565657 -0.048354
0.555556 -0.049114
0.545455 -0.049855
0.535354 -0.050577
0.525253 -0.051279
0.515152 -0.051959
0.505051 -0.052619
0.494949 -0.053256
0.484848 -0.053871
0.474747 -0.054462
0.464646 -0.055030
0.454545 -0.055572
0.444444 -0.056088
0.434343 -0.056578
0.424242 -0.057040
0.414141 -0.057473
0.404040 -0.057877
0.393939 -0.058250
0.383838 -0.058591
0.373737 -0.058900
0.363636 -0.059173
0.353535 -0.059412
0.343434 -0.059613
0.333333 -0.059775
0.323232 -0.059897
0.313131 -0.059978
0.303030 -0.060015
0.292929 -0.060006
0.282828 -0.059950
0.272727 -0.059845
0.262626 -0.059687
0.252525 -0.059474
0.242424 -0.059205
0.232323 -0.058875
0.222222 -0.058482
0.212121 -0.058021
0.202020 -0.057490
0.191919 -0.056884
0.181818 -0.056199
0.171717 -0.055427
0.161616 -0.054565
0.151515 -0.053605
0.141414 -0.052538
0.131313 -0.051356
0.121212 -0.050048
0.111111 -0.048600
0.101010 -0.046997
0.090909 -0.045219
0.080808 -0.043240
0.070707 -0.041027
0.060606 -0.038535
0.050505 -0.035699
0.040404 -0.032420
0.030303 -0.028530
0.020202 -0.023708
0.010101 -0.017119
0.000000 0.000000
